video_id;glosse;glosse_filter;gloss_idx;t_ini_glosse;t_end_glosse;ini_frame;end_frame;in_path_frames;out_path_frames;text_Deutsch;gloss_number;gloss_name;instance_id;split;bbox;signer_id;variation_id;fps;frame_start;frame_end;source;url;original_idx
1;ZUG;zug;0;4.44623;5.33364;267;322;/run/user/1000/gvfs/smb-share:server=137.250.171.20,share=datasets/AVASAG_dictionary/videos_sentences/frames/0001/0001;/run/user/1000/gvfs/smb-share:server=137.250.171.20,share=datasets/AVASAG_dictionary/videos_glosses_from_sentences/0001_0000;Der Zug nach Hannover fährt auf Gleis 8.;1;ZUG;0;val;[-1 -1 -1 -1];0;0;60;267;322;AVASAG;http;0
1;INDEX;index;1;5.14141;5.86631;309;353;/run/user/1000/gvfs/smb-share:server=137.250.171.20,share=datasets/AVASAG_dictionary/videos_sentences/frames/0001/0001;/run/user/1000/gvfs/smb-share:server=137.250.171.20,share=datasets/AVASAG_dictionary/videos_glosses_from_sentences/0001_0001;Der Zug nach Hannover fährt auf Gleis 8.;0;INDEX;0;val;[-1 -1 -1 -1];0;0;60;309;353;AVASAG;http;1
1;RICHTUNG;richtung;2;5.46698;6.5163;329;392;/run/user/1000/gvfs/smb-share:server=137.250.171.20,share=datasets/AVASAG_dictionary/videos_sentences/frames/0001/0001;/run/user/1000/gvfs/smb-share:server=137.250.171.20,share=datasets/AVASAG_dictionary/videos_glosses_from_sentences/0001_0002;Der Zug nach Hannover fährt auf Gleis 8.;3;RICHTUNG;0;train;[-1 -1 -1 -1];0;0;60;329;392;AVASAG;http;2
1;HANNOVER;hannover;3;6.14964;7.39965;369;445;/run/user/1000/gvfs/smb-share:server=137.250.171.20,share=datasets/AVASAG_dictionary/videos_sentences/frames/0001/0001;/run/user/1000/gvfs/smb-share:server=137.250.171.20,share=datasets/AVASAG_dictionary/videos_glosses_from_sentences/0001_0003;Der Zug nach Hannover fährt auf Gleis 8.;61;HANNOVER;0;train;[-1 -1 -1 -1];0;0;60;369;445;AVASAG;http;3
1;AUFBRECHEN;aufbrechen;4;7.08298;7.98299;425;480;/run/user/1000/gvfs/smb-share:server=137.250.171.20,share=datasets/AVASAG_dictionary/videos_sentences/frames/0001/0001;/run/user/1000/gvfs/smb-share:server=137.250.171.20,share=datasets/AVASAG_dictionary/videos_glosses_from_sentences/0001_0004;Der Zug nach Hannover fährt auf Gleis 8.;2;AUFBRECHEN;0;train;[-1 -1 -1 -1];0;0;60;425;480;AVASAG;http;4
1;GLEIS;gleis;5;7.64965;8.76634;459;527;/run/user/1000/gvfs/smb-share:server=137.250.171.20,share=datasets/AVASAG_dictionary/videos_sentences/frames/0001/0001;/run/user/1000/gvfs/smb-share:server=137.250.171.20,share=datasets/AVASAG_dictionary/videos_glosses_from_sentences/0001_0005;Der Zug nach Hannover fährt auf Gleis 8.;20;GLEIS;0;train;[-1 -1 -1 -1];0;0;60;459;527;AVASAG;http;5
1;num:8;num.8;6;8.283;10.15;497;610;/run/user/1000/gvfs/smb-share:server=137.250.171.20,share=datasets/AVASAG_dictionary/videos_sentences/frames/0001/0001;/run/user/1000/gvfs/smb-share:server=137.250.171.20,share=datasets/AVASAG_dictionary/videos_glosses_from_sentences/0001_0006;Der Zug nach Hannover fährt auf Gleis 8.;47;num:8;0;test;[-1 -1 -1 -1];0;0;60;497;610;AVASAG;http;6
2;HEUTE;heute;0;3.0868;4.02007;186;243;/run/user/1000/gvfs/smb-share:server=137.250.171.20,share=datasets/AVASAG_dictionary/videos_sentences/frames/0002/0002;/run/user/1000/gvfs/smb-share:server=137.250.171.20,share=datasets/AVASAG_dictionary/videos_glosses_from_sentences/0002_0000;Heute kein Halt in Köln.;8;HEUTE;0;test;[-1 -1 -1 -1];0;0;60;186;243;AVASAG;http;7
2;DORTHIN;dorthin;1;3.73822;4.78115;225;288;/run/user/1000/gvfs/smb-share:server=137.250.171.20,share=datasets/AVASAG_dictionary/videos_sentences/frames/0002/0002;/run/user/1000/gvfs/smb-share:server=137.250.171.20,share=datasets/AVASAG_dictionary/videos_glosses_from_sentences/0002_0001;Heute kein Halt in Köln.;15;DORTHIN;0;val;[-1 -1 -1 -1];0;0;60;225;288;AVASAG;http;8
2;KOELN;koeln;2;4.40489;5.31835;265;321;/run/user/1000/gvfs/smb-share:server=137.250.171.20,share=datasets/AVASAG_dictionary/videos_sentences/frames/0002/0002;/run/user/1000/gvfs/smb-share:server=137.250.171.20,share=datasets/AVASAG_dictionary/videos_glosses_from_sentences/0002_0002;Heute kein Halt in Köln.;63;KOELN;0;val;[-1 -1 -1 -1];0;0;60;265;321;AVASAG;http;9
